name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
android-async-http,2011-02-20T03:25:07Z,2022-09-09T11:58:11Z,165,3,Java,975,111,https://github.com/android-async-http/android-async-http,10645
FileDownloader,2015-12-22T11:17:16Z,2022-09-11T09:12:26Z,36,65,Java,1180,142,https://github.com/lingochamp/FileDownloader,10619
Grasscutter,2022-04-17T12:43:46Z,2022-09-12T01:27:28Z,685,1,Java,712,47,https://github.com/Grasscutters/Grasscutter,10616
webmagic,2013-04-23T12:57:36Z,2022-09-09T14:07:15Z,97,21,Java,585,297,https://github.com/code4craft/webmagic,10522
interview,2014-07-20T21:27:31Z,2022-09-12T01:32:35Z,72,0,Java,25,60,https://github.com/mission-peace/interview,10510
mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,2022-09-11T22:38:46Z,6,3,Java,6,10,https://github.com/janishar/mit-deep-learning-book-pdf,10497
ImmersionBar,2017-04-19T05:10:09Z,2022-09-09T16:13:36Z,1,0,Java,435,114,https://github.com/gyf-dev/ImmersionBar,10494
okhttp-OkGo,2016-01-15T10:35:24Z,2022-09-09T11:57:02Z,5,14,Java,515,454,https://github.com/jeasonlzy/okhttp-OkGo,10444
JiaoZiVideoPlayer,2016-02-06T11:04:24Z,2022-09-10T06:50:16Z,41,78,Java,2394,268,https://github.com/lipangit/JiaoZiVideoPlayer,10421
neo4j,2012-11-12T08:46:15Z,2022-09-11T23:06:37Z,7936,72,Java,2870,269,https://github.com/neo4j/neo4j,10388
RxPermissions,2015-09-29T13:55:09Z,2022-09-09T14:06:25Z,37,11,Java,194,86,https://github.com/tbruyelle/RxPermissions,10365
Java,2015-11-25T07:30:08Z,2022-09-11T17:26:08Z,0,0,Java,11,41,https://github.com/DuGuQiuBai/Java,10265
Sa-Token,2020-02-03T10:34:29Z,2022-09-11T03:23:59Z,27,25,Java,264,0,https://github.com/dromara/Sa-Token,10233
CtCI-6th-Edition,2015-07-02T06:28:46Z,2022-09-11T21:15:17Z,42,0,Java,21,46,https://github.com/careercup/CtCI-6th-Edition,10204
ViewPagerIndicator,2011-08-04T17:13:44Z,2022-09-09T11:57:17Z,21,0,Java,146,135,https://github.com/JakeWharton/ViewPagerIndicator,10200
SmarterStreaming,2016-03-26T14:46:02Z,2022-09-11T07:51:31Z,0,0,Java,114,4,https://github.com/daniulive/SmarterStreaming,10194
MVPArms,2016-08-06T08:49:56Z,2022-09-08T03:44:44Z,33,25,Java,280,43,https://github.com/JessYanCoding/MVPArms,10189
dex2jar,2015-03-16T09:13:07Z,2022-09-11T14:11:43Z,11,6,Java,150,371,https://github.com/pxb1988/dex2jar,10143
algorithm-base,2021-03-17T09:32:28Z,2022-09-12T00:49:38Z,24,0,Java,4,18,https://github.com/chefyuan/algorithm-base,10128
platform_frameworks_base,2008-10-21T18:20:37Z,2022-09-10T00:34:14Z,1,0,Java,0,0,https://github.com/aosp-mirror/platform_frameworks_base,10111
grpc-java,2014-12-08T19:00:00Z,2022-09-09T11:57:19Z,5611,115,Java,2498,458,https://github.com/grpc/grpc-java,10020
auto,2013-05-22T21:41:56Z,2022-09-09T12:46:09Z,493,55,Java,384,65,https://github.com/google/auto,9850
zaproxy,2015-06-03T16:55:01Z,2022-09-12T00:43:09Z,2814,281,Java,3743,707,https://github.com/zaproxy/zaproxy,9818
javapoet,2013-02-01T16:56:30Z,2022-09-11T03:56:32Z,335,0,Java,312,85,https://github.com/square/javapoet,9796
Fragmentation,2016-02-23T08:54:55Z,2022-09-09T02:33:08Z,31,30,Java,1033,190,https://github.com/YoKeyword/Fragmentation,9730
glide-transformations,2015-01-09T10:33:29Z,2022-09-11T22:47:45Z,34,0,Java,105,50,https://github.com/wasabeef/glide-transformations,9699
jsoup,2009-12-19T01:29:58Z,2022-09-11T21:32:53Z,197,8,Java,1231,71,https://github.com/jhy/jsoup,9695
cas,2011-09-09T01:36:42Z,2022-09-11T03:33:24Z,3442,230,Java,0,0,https://github.com/apereo/cas,9688
AVLoadingIndicatorView,2015-10-24T20:18:33Z,2022-09-10T15:46:42Z,8,1,Java,37,65,https://github.com/HarlonWang/AVLoadingIndicatorView,9653
clojure,2010-06-29T20:03:33Z,2022-09-11T23:52:02Z,1,0,Java,0,0,https://github.com/clojure/clojure,9647
android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,2022-09-09T14:07:29Z,19,8,Java,146,150,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9643
Android-ObservableScrollView,2014-11-08T14:45:20Z,2022-09-06T14:03:00Z,18,0,Java,88,175,https://github.com/ksoichiro/Android-ObservableScrollView,9616
onedev,2018-11-06T02:57:01Z,2022-09-11T11:00:51Z,4,183,Java,0,0,https://github.com/theonedev/onedev,9604
react-native-camera,2015-04-01T00:54:40Z,2022-09-08T15:22:33Z,772,144,Java,2307,56,https://github.com/react-native-camera/react-native-camera,9570
easypermissions,2015-12-22T18:05:53Z,2022-09-10T13:19:54Z,90,12,Java,202,25,https://github.com/googlesamples/easypermissions,9549
paascloud-master,2018-03-17T05:40:43Z,2022-09-11T13:25:12Z,3,0,Java,42,81,https://github.com/paascloud/paascloud-master,9440
