name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
architecture-samples,2016-02-05T13:42:07Z,2022-10-02T18:26:35Z,194,0,Kotlin,289,146,https://github.com/android/architecture-samples,41548
PayloadsAllTheThings,2016-10-18T07:29:07Z,2022-10-02T22:49:36Z,395,2,Python,0,0,https://github.com/swisskyrepo/PayloadsAllTheThings,41511
babel,2014-09-28T13:38:23Z,2022-10-02T23:41:43Z,4946,317,TypeScript,7645,634,https://github.com/babel/babel,41446
nuxt.js,2016-10-26T11:18:47Z,2022-10-02T16:10:17Z,2364,150,JavaScript,6347,465,https://github.com/nuxt/nuxt.js,41380
parcel,2017-08-07T16:36:47Z,2022-10-02T20:01:43Z,2018,21,JavaScript,4149,686,https://github.com/parcel-bundler/parcel,41373
etcd,2013-07-06T21:57:21Z,2022-10-02T23:02:55Z,7010,215,Go,5783,155,https://github.com/etcd-io/etcd,41359
Ghost,2013-05-04T11:09:13Z,2022-10-02T23:44:25Z,6954,572,JavaScript,6390,29,https://github.com/TryGhost/Ghost,41188
gogs,2014-02-12T01:57:08Z,2022-10-02T19:01:15Z,1451,74,Go,4135,796,https://github.com/gogs/gogs,40962
build-web-application-with-golang,2012-08-02T11:49:35Z,2022-10-02T22:31:30Z,758,0,Go,181,109,https://github.com/astaxie/build-web-application-with-golang,40955
yarn,2016-01-19T17:39:16Z,2022-10-02T20:01:45Z,1652,150,JavaScript,4615,1810,https://github.com/yarnpkg/yarn,40861
awesome-ios,2014-07-10T16:03:45Z,2022-10-02T21:28:56Z,2163,0,Swift,448,2,https://github.com/vsouza/awesome-ios,40703
awesome-cpp,2014-07-17T08:51:11Z,2022-10-02T23:52:28Z,502,0,,168,350,https://github.com/fffaraz/awesome-cpp,40679
retrofit,2010-09-06T21:39:43Z,2022-10-02T13:45:49Z,764,0,Java,2458,143,https://github.com/square/retrofit,40594
v2ray-core,2015-09-04T11:42:53Z,2022-10-02T23:43:16Z,202,247,Go,2445,28,https://github.com/v2ray/v2ray-core,40493
dayjs,2018-04-10T09:26:44Z,2022-10-02T20:38:21Z,632,111,JavaScript,726,459,https://github.com/iamkun/dayjs,40485
pdf.js,2011-04-26T06:32:03Z,2022-10-02T18:55:48Z,5927,44,JavaScript,8174,360,https://github.com/mozilla/pdf.js,40043
Ventoy,2020-03-10T15:19:19Z,2022-10-02T23:12:29Z,139,78,C,1153,317,https://github.com/ventoy/Ventoy,40026
rich,2019-11-10T15:28:09Z,2022-10-02T23:39:29Z,636,141,Python,865,49,https://github.com/Textualize/rich,39925
traefik,2015-09-13T19:04:02Z,2022-10-02T20:23:29Z,3578,379,Go,4538,602,https://github.com/traefik/traefik,39837
hyper,2016-07-01T06:01:21Z,2022-10-02T21:00:07Z,2541,81,TypeScript,2760,816,https://github.com/vercel/hyper,39367
supabase,2019-10-12T05:56:49Z,2022-10-02T23:42:02Z,2855,20,TypeScript,1287,189,https://github.com/supabase/supabase,39307
git-flight-rules,2014-07-22T20:35:09Z,2022-10-02T07:38:28Z,208,0,,52,14,https://github.com/k88hudson/git-flight-rules,39301
algorithm-visualizer,2016-05-15T00:27:45Z,2022-10-02T17:13:27Z,182,0,JavaScript,72,19,https://github.com/algorithm-visualizer/algorithm-visualizer,39182
nw.js,2012-01-04T06:21:10Z,2022-10-02T15:57:56Z,568,0,JavaScript,6210,905,https://github.com/nwjs/nw.js,39147
x64dbg,2015-04-11T20:48:23Z,2022-10-02T22:06:38Z,577,3,C++,1677,498,https://github.com/x64dbg/x64dbg,39143
awesome-wechat-weapp,2016-09-22T20:04:48Z,2022-10-02T13:26:12Z,271,0,,0,0,https://github.com/justjavac/awesome-wechat-weapp,38950
pi-hole,2014-06-08T15:02:55Z,2022-10-02T22:48:34Z,1502,85,Shell,2557,27,https://github.com/pi-hole/pi-hole,38907
materialize,2014-09-12T19:35:38Z,2022-10-02T11:07:17Z,449,41,JavaScript,4586,622,https://github.com/Dogfalo/materialize,38727
nerd-fonts,2014-12-05T04:31:17Z,2022-10-02T22:51:48Z,214,24,CSS,385,237,https://github.com/ryanoasis/nerd-fonts,38556
Alamofire,2014-07-31T05:56:19Z,2022-10-02T22:46:26Z,557,91,Swift,2618,31,https://github.com/Alamofire/Alamofire,38384
tabby,2016-12-23T09:06:10Z,2022-10-02T22:02:23Z,1285,163,TypeScript,2554,1048,https://github.com/Eugeny/tabby,38171
dubbo,2012-06-19T07:56:02Z,2022-10-02T12:09:20Z,3469,57,Java,5036,451,https://github.com/apache/dubbo,37921
pm2,2013-05-21T03:25:25Z,2022-10-02T21:15:17Z,533,118,JavaScript,3973,635,https://github.com/Unitech/pm2,37795
chinese-poetry,2016-09-02T03:32:25Z,2022-10-02T23:54:15Z,121,1,JavaScript,81,82,https://github.com/chinese-poetry/chinese-poetry,37778
pixijs,2013-01-21T22:40:50Z,2022-10-02T22:19:58Z,2453,166,TypeScript,4829,96,https://github.com/pixijs/pixijs,37612
styled-components,2016-08-16T06:41:32Z,2022-10-02T22:18:55Z,851,122,TypeScript,2473,114,https://github.com/styled-components/styled-components,37482
bat,2018-04-21T10:52:23Z,2022-10-02T22:59:17Z,1033,38,Rust,967,151,https://github.com/sharkdp/bat,37377
uni-app,2018-07-12T08:52:39Z,2022-10-02T21:29:57Z,205,0,JavaScript,2573,1002,https://github.com/dcloudio/uni-app,37200
github-cheat-sheet,2014-04-12T16:38:42Z,2022-10-02T21:03:44Z,129,0,,41,11,https://github.com/tiimgreen/github-cheat-sheet,37116
impress.js,2011-12-28T22:23:19Z,2022-10-01T08:56:35Z,107,15,JavaScript,408,50,https://github.com/impress/impress.js,36955
huginn,2013-03-10T06:00:31Z,2022-10-02T21:43:00Z,923,1,Ruby,1421,562,https://github.com/huginn/huginn,36548
marktext,2017-11-12T16:05:25Z,2022-10-02T18:21:34Z,930,36,JavaScript,1551,857,https://github.com/marktext/marktext,36235
edex-ui,2017-01-28T09:35:02Z,2022-10-02T21:46:38Z,399,29,JavaScript,553,6,https://github.com/GitSquared/edex-ui,36057
openpilot,2016-11-24T01:33:30Z,2022-10-02T18:09:34Z,5164,47,Python,1618,189,https://github.com/commaai/openpilot,36002
fastlane,2014-12-02T17:00:38Z,2022-10-02T21:50:19Z,5940,527,Ruby,12144,127,https://github.com/fastlane/fastlane,35864
sherlock,2018-12-24T14:30:48Z,2022-10-02T23:16:44Z,442,0,Python,595,79,https://github.com/sherlock-project/sherlock,35709
Leaflet,2010-09-22T16:57:44Z,2022-10-02T21:11:47Z,2549,28,JavaScript,4551,363,https://github.com/Leaflet/Leaflet,35676
MPAndroidChart,2014-04-25T14:29:47Z,2022-10-02T18:46:18Z,190,44,Java,2862,1973,https://github.com/PhilJay/MPAndroidChart,35649
CppCoreGuidelines,2015-08-19T20:22:52Z,2022-10-02T20:38:56Z,735,4,Python,830,187,https://github.com/isocpp/CppCoreGuidelines,35632
hexo,2012-09-23T15:17:08Z,2022-10-02T20:18:19Z,808,107,JavaScript,3734,75,https://github.com/hexojs/hexo,35481
front-end-interview-handbook,2018-01-13T19:40:08Z,2022-10-02T23:25:06Z,220,0,JavaScript,74,11,https://github.com/yangshun/front-end-interview-handbook,35336
d2l-zh,2017-08-23T04:40:24Z,2022-10-02T20:24:06Z,990,15,Python,0,0,https://github.com/d2l-ai/d2l-zh,35332
frontend-dev-bookmarks,2013-06-22T13:23:55Z,2022-10-02T23:29:05Z,129,1,,79,18,https://github.com/dypsilon/frontend-dev-bookmarks,35326
python-patterns,2012-06-06T21:02:35Z,2022-10-02T22:41:02Z,260,0,Python,69,11,https://github.com/faif/python-patterns,35161
what-happens-when,2013-11-07T04:30:06Z,2022-10-02T13:37:09Z,108,0,,20,92,https://github.com/alex/what-happens-when,35119
rclone,2014-03-16T16:19:57Z,2022-10-02T21:08:17Z,1344,86,Go,3838,742,https://github.com/rclone/rclone,34829
ghidra,2019-03-01T03:27:48Z,2022-10-02T21:52:37Z,308,22,Java,2178,1189,https://github.com/NationalSecurityAgency/ghidra,34750
node-v0.x-archive,2009-05-27T16:29:46Z,2022-10-02T17:25:25Z,218,0,,5845,535,https://github.com/nodejs/node-v0.x-archive,34651
bun,2021-04-14T00:48:17Z,2022-10-02T23:46:46Z,295,56,Zig,439,342,https://github.com/oven-sh/bun,34583
slate,2013-09-13T22:15:24Z,2022-10-02T14:41:59Z,285,27,SCSS,550,42,https://github.com/slatedocs/slate,34555
php-src,2011-06-16T01:52:25Z,2022-10-02T19:28:17Z,1304,0,C,622,217,https://github.com/php/php-src,34372
zx,2021-05-05T05:50:01Z,2022-10-02T20:51:52Z,101,52,JavaScript,262,11,https://github.com/google/zx,34295
video.js,2010-05-14T18:45:10Z,2022-10-02T20:52:46Z,1537,270,JavaScript,4514,331,https://github.com/videojs/video.js,34278
fullPage.js,2013-09-20T11:58:29Z,2022-10-02T16:35:05Z,287,80,JavaScript,3781,156,https://github.com/alvarotrigo/fullPage.js,34067
